id,age,npset,testirt2,oc_comp,oc_reg,irregular
1,28,1,-0.79324126,0,0,reg
2,26,0,-0.47304851,1,1,reg
3,33,1,0.88678247,0,0,reg
4,12,0,-0.56063688,0,0,reg
5,30,0,-0.95504993,0,0,reg
6,NA,8,0.88678247,0,3,reg
7,23,0,-0.84713197,0,6,reg
8,18,0,-0.2671169,7,7,reg
9,19,0,-0.70207882,0,1,reg
10,21,1,-0.51872027,0,0,reg
11,26,0,-0.70781219,NA,NA,reg
12,31,1,0.30522463,12,12,reg
13,37,0,-0.7239241,2,3,reg
14,27,0,0.88678247,0,6,reg
15,37,8,0.31142372,0,0,reg
16,NA,0,0.39288607,0,0,reg
17,28,2,0.88678247,0,1,reg
18,14,4,-0.26260373,12,12,reg
19,25,1,0.30522463,0,0,reg
20,27,0,-0.7996431,0,0,reg
21,22,0,-0.60054862,0,0,reg
22,58,0,-1.0876698,0,0,reg
23,17,0,-0.96525711,0,0,reg
24,23,0,-2.5534945,NA,NA,reg
25,37,0,-1.1448529,0,0,reg
26,49,0,-1.3060002,0,0,reg
27,NA,0,-0.010241032,2,5,reg
28,17,0,0.38179988,0,2,reg
29,58,2,0.88678247,6,12,reg
30,NA,4,0.25758731,0,0,reg
31,31,0,0.30522463,0,2,reg
32,27,0,0.88678247,0,0,reg
33,20,0,0.31142372,1,1,reg
34,NA,0,0.31142372,2,3,reg
35,26,7,0.88678247,0,0,reg
36,26,0,-0.17322749,0,3,reg
37,34,0,-0.20359513,NA,NA,reg
38,19,2,0.88678247,0,3,reg
39,52,1,0.88678247,0,0,reg
40,23,2,-1.960117,0,2,reg
41,27,6,0.88678247,0,1,irreg
42,37,1,-1.551038,NA,NA,reg
43,25,1,0.88678247,0,0,reg
44,21,1,0.88678247,1,2,reg
45,24,4,-1.0192633,0,0,reg
46,20,5,-0.39115804,0,1,reg
47,26,2,0.26567224,0,NA,reg
48,NA,0,-0.54511833,1,2,reg
49,30,2,0.38179988,0,0,reg
50,20,0,-0.080933593,0,1,reg
51,NA,8,0.88678247,12,12,reg
52,20,1,0.88678247,0,0,reg
53,20,0,-0.99394941,0,0,reg
